index,dataset,code,trainsize,testsize,dimensions,length,classes
54,GunPointOldVersusYoung,GPO,136,315,1,150,2
55,Ham,HAM,109,105,1,431,2
56,HandOutlines,HO,1000,370,1,2709,2
57,Haptics,HAP,155,308,1,1092,5
58,Herring,HER,64,64,1,512,2
59,HouseTwenty,HT,40,119,1,2000,2
60,InlineSkate,IS,100,550,1,1882,7
61,InsectEPGRegularTrain,IRT,62,249,1,601,3
62,InsectEPGSmallTrain,IST,17,249,1,601,3
63,InsectWingbeatSound,IWS,220,1980,1,256,11
64,ItalyPowerDemand,IPD,67,1029,1,24,2
65,LargeKitchenAppliances,LKA,375,375,1,720,3
66,Lightning2,L2,60,61,1,637,2
67,Lightning7,L7,70,73,1,319,7
68,Mallat,MAL,55,2345,1,1024,8
69,Meat,MT,60,60,1,448,3
70,MedicalImages,MI,381,760,1,99,10
72,MiddlePhalanxOutlineAgeGroup,MOA,400,154,1,80,3
73,MiddlePhalanxOutlineCorrect,MOC,600,291,1,80,2
74,MiddlePhalanxTW,MTW,399,154,1,80,6
75,MixedShapesRegularTrain,MSR,500,2425,1,1024,5
76,MixedShapesSmallTrain,MSS,100,2425,1,1024,5
77,MoteStrain,MS,20,1252,1,84,2
78,NonInvasiveFetalECGThorax1,NF1,1800,1965,1,750,42
79,NonInvasiveFetalECGThorax2,NF2,1800,1965,1,750,42
80,OliveOil,OO,30,30,1,570,4
81,OSULeaf,OL,200,242,1,427,6
82,PhalangesOutlinesCorrect,PC,1800,858,1,80,2
83,Phoneme,PHO,214,1896,1,1024,39
85,PigAirwayPressure,PAP,104,208,1,2000,52
86,PigArtPressure,PRP,104,208,1,2000,52
87,PigCVP,PCP,104,208,1,2000,52
89,Plane,PLN,105,105,1,144,7
90,PowerCons,PC,180,180,1,144,2
91,ProximalPhalanxOutlineAgeGroup,PAG,400,205,1,80,3
92,ProximalPhalanxOutlineCorrect,POC,600,291,1,80,2
93,ProximalPhalanxTW,PTW,400,205,1,80,6
94,RefrigerationDevices,RD,375,375,1,720,3
95,Rock,RCK,20,50,1,2844,4
96,ScreenType,ST,375,375,1,720,3
97,SemgHandGenderCh2,SHG,300,600,1,1500,2
98,SemgHandMovementCh2,SHM,450,450,1,1500,6
99,SemgHandSubjectCh2,SHS,450,450,1,1500,5
101,ShapeletSim,SS,20,180,1,500,2
102,ShapesAll,SA,600,600,1,512,60
103,SmallKitchenAppliances,SKA,375,375,1,720,3
104,SmoothSubspace,SS,150,150,1,15,3
105,SonyAIBORobotSurface1,SR1,20,601,1,70,2
106,SonyAIBORobotSurface2,SR2,27,953,1,65,2
107,StarLightCurves,STC,1000,8236,1,1024,3
108,Strawberry,STB,613,370,1,235,2
109,SwedishLeaf,SL,500,625,1,128,15
110,Symbols,SYM,25,995,1,398,6
111,SyntheticControl,SYC,300,300,1,60,6
112,ToeSegmentation1,TS1,40,228,1,277,2
113,ToeSegmentation2,TS2,36,130,1,343,2
114,Trace,TRA,100,100,1,275,4
115,TwoLeadECG,TLE,23,1139,1,82,2
116,TwoPatterns,TP,1000,4000,1,128,4
117,UMD,UMD,36,144,1,150,3
118,UWaveGestureLibraryAll,UGA,896,3582,1,945,8
119,UWaveGestureLibraryX,UGX,896,3582,1,315,8
120,UWaveGestureLibraryY,UGY,896,3582,1,315,8
121,UWaveGestureLibraryZ,UGZ,896,3582,1,315,8
122,Wafer,WAF,1000,6164,1,152,2
123,Wine,WIN,57,54,1,234,2
124,WordSynonyms,WS,267,638,1,270,25
125,Worms,WO,181,77,1,900,5
126,WormsTwoClass,WTC,181,77,1,900,2
127,Yoga,YO,300,3000,1,426,2
